%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
2116,4.725216653381931,9.685008875715265,5.247381434883717,6.661643912227495,2.30412668843363,11.099644958964264,-3.367738945342147,-1.0682312838453072,3.809800059049344,3.296921522813271,-1.0018692401662044,3.316531245684825,-1.0256536681849902,2.098067279685452,-2.4139829471031753,-1.1674577692561527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2117,-6.662508197991805,-2.8275682240871127,-3.9283558718024736,-5.946871653859713,-7.306100685947769,-1.0844361611125244,-10.655139261740928,-12.837590860074679,-0.9409777918267643,-3.339291815099159,-6.3073903808561695,-5.572895285670889,-5.620341162584101,-5.598369091303347,-8.488740524589993,-7.454362194876154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2118,-7.319296628900183,-2.6030571096694644,-0.921772963523317,-8.573567055671148,-4.382067850163409,-6.413339556357553,-8.223677875667477,-9.176983170955456,-4.844473085074654,-8.08742655090067,-7.22294485586875,-7.634021729885539,-7.479462602065009,-7.502518792773227,-8.990975931405728,-7.0555060821694475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2119,2.0622977153634316,6.275348715592891,10.45296318497505,1.8444810634194795,7.965875070544119,2.291713232203417,0.8653458215857874,2.3039561517411826,2.1763832311013633,-1.1439736111780263,3.8795555664021837,0.8946408949575186,2.199688016238884,1.2698108170749975,1.9356168843355874,1.1794796943103876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2120,-0.031387661961773006,-1.5161748362400758,6.926550130856864,-2.398848149353814,1.5017684552568724,-1.0170764253480264,-5.08744499460375,-6.601838315280368,1.3327719018471775,-3.3015213133582275,2.651875088207647,-2.614538233014322,-0.6151337241925621,-1.760114699357704,-1.9597654454959486,-3.6120903141640746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2121,-8.53566189879944,-10.503451036914107,-0.6117019067073102,-10.261121390115342,-8.854531041781222,-7.649678323174559,-7.802247452251567,-10.245324849955974,-4.264353021769161,-5.650052585641746,-5.002806940711635,-7.697332094769987,-7.454532267705337,-6.238162484028603,-10.026932839845514,-9.458395467742982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2122,-8.501473099876574,-9.151588081469882,-1.8558222227661574,-10.626968330374087,-5.7088788303839095,-7.181605485600247,-3.712341220849275,-4.165916399441635,-4.468562284636303,-3.2594747113369325,-1.4246057579233335,-2.5679402813680867,-3.888316160872953,-1.7133282145204884,-5.029257897096856,-3.2755996335954793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2123,-0.6686596657535162,-2.163756769391725,0.685463322447788,-4.406292968825014,0.3412928777131796,-4.719512988765739,-5.40517639899366,-2.2527638684235143,-9.176313011572377,-13.526780729696169,-5.066511848383337,-7.753857098946682,-7.142200872087402,-8.684740055963935,-6.977260573228723,-6.832795168144606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2124,11.525231670060045,11.121279799662798,13.283804812953314,10.612052160274555,8.900545660273526,8.769647944675704,1.1877915795526235,6.010745518711161,2.0428958247318283,-4.138665248431057,0.17029950894798107,2.4096906821839768,3.54852958374335,-1.2307250442574829,3.6922932679868676,2.9527856399424453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2125,12.958287895251154,11.485724040094837,17.980915949017273,12.528433888537208,10.784326437612997,14.908243494105665,8.637024042195165,14.76358026841661,18.28578199126145,16.502065606001622,17.41275205636885,24.53593581029712,21.6375611046899,18.61784119034172,22.448609367656953,23.498163075607692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
