%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
13284,10.028527158747533,1.428624016180784,-4.1326638307911665,2.8762935235645717,-8.788031754483303,-25.478862531076548,-5.064441264212288,-2.8811046250755936,-7.323624067993939,-1.1575606060230967,-9.38352844693129,-10.90401418561562,-3.7411161899478422,-6.292318660013425,-8.196700356810824,-7.0512889599230455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13285,11.71104016195234,0.5857215326101439,5.140518758305488,-0.729480914138648,-1.887764803636145,-23.229245464305286,-1.6892454348581722,-4.681621553496335,0.2019965104846828,-3.8100137940433987,-11.209639871958549,-14.879320188515122,-2.381719891297217,-8.919676294739169,-13.963605517576637,-13.74782081789217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13286,8.314135167072113,-0.6090814477128994,1.116629507080682,-2.788967678787035,-5.824485056026774,-17.764661871900525,-2.300736519907833,-7.304978859084287,5.445126853241038,-3.1110178962815422,-5.288096154192191,-13.33637767964761,1.9092139030824749,-6.95305348099539,-8.68464771254812,-10.717134862523977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13287,4.799818561771051,-1.7485397012442263,-6.088043215100916,-6.876457492629097,-10.653546827112637,-13.788382293887004,-5.6904025040708675,-10.608852695588036,3.3968241019685905,-3.2067245266397113,0.16472227635606096,-14.062424619772152,3.4245335861415995,-6.545765059563685,0.3353810754122062,-5.9389290101858485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13288,6.4873419783943085,-2.113202311244958,-3.3909167270839866,-9.21909675989356,-9.217880144532607,-15.879481104560957,-10.027668688977407,-12.258587878264379,-0.4939558469032814,-7.512100600369238,-2.1928678830301513,-18.89722589160136,-0.5763133070627067,-10.92596449911516,-2.8419424515586824,-10.335261721066336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13289,4.921770284878129,-4.603465953123088,-3.4467681035879227,-14.184458992744723,-10.41747175353862,-18.23264466317646,-15.05107918399914,-12.56217924517613,-1.91969858728213,-9.47471109216513,-8.438433204842285,-16.71598161808719,-3.9923491815877705,-11.017206125545133,-10.925829461701053,-11.855071418896085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13290,4.238792961543659,-2.5847915161653177,-6.72937565692358,-11.179461735410309,-9.741726176595149,-12.00711542714971,-11.43849398012443,-8.81169106632676,-2.4766450064540706,-6.612317384315636,-9.883475169769124,-9.239773734848267,-2.8792701496358477,-6.418853371022433,-10.012809824087663,-3.940681290719126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13291,8.04234006923096,1.0178074434183522,-8.911272876343883,-5.759827636581491,-5.794089316251226,-6.9846236669371,-7.849462091026808,-7.01632366926113,-2.540089595368938,-2.1051340560886516,-6.31176552480369,-5.753144950387871,-0.017283193981256773,-2.5076666041972473,-5.046334977461431,1.5065529347927784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13292,4.92311656187162,-1.805007176957293,-11.930595271160957,-12.643008249888236,-7.155037038195021,-11.216845953413815,-13.71518492446415,-12.641335479535751,-4.528717899939933,-1.7495606575668727,-6.825406131515548,-8.075510086855314,-0.15456289909734622,-1.9439588074473662,-4.972285846472591,0.3886335050045009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13293,0.878451102566439,-2.65226666134285,-10.033916127689986,-12.537076490698269,-9.277294322196045,-11.371454036200275,-16.428161711921405,-15.929339355109345,-8.29396719872613,-6.356312938417888,-11.33790628419158,-13.770688990183038,-3.9922264784858648,-6.431527025004915,-9.96218760328647,-5.178542801461145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13294,7.9222965754422745,3.0055730032696033,-3.0505347849059667,-2.907115631804759,-6.38726099033412,-2.87049741320392,-13.354069990639097,-10.856265647930645,-8.225490168158894,-5.337740453650039,-11.507011508015372,-15.903398548319462,-5.9317171940551905,-8.493044818694147,-12.3202380009849,-10.367388922778652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13295,14.418854182264422,7.264812451765275,2.5708553034991435,0.5774777659116328,-1.8183468318759946,3.343226641670257,-8.932981300433456,-4.522965155100906,-4.431985460793449,2.715255726382292,-8.267499392679145,-10.380638159584796,-3.4239145333797296,-3.4466474909710456,-8.513194509840094,-6.929802350353425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
