%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other.1,Other.2,Other.3,Other.4,Other.5,Other.6,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other.7,Timestamp (Formatted),Annotations
15628,-25.022492938461262,-25.34447038336034,-13.07078541064451,-10.59548218548475,-14.607525187890024,-9.945857428285251,-6.27149388062568,1.1877526585546612,-8.03748921605552,-5.786362402125931,-3.2261002388383133,0.04671482408858196,-1.3441527545685261,4.990385885114051,9.247025918945923,22.604084760228133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15629,-21.785482402025725,-23.49962612858496,-11.781489158389906,-4.3631398566943815,-9.418032129496865,-3.3345112437547115,0.050702614194804596,4.763962873626195,-2.2994940967565327,-0.5092325809781926,0.48600007381386945,3.044606864220242,1.3037286220194062,4.992247702875787,8.270564480654343,14.570837376518202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15630,-26.370669070059655,-26.81887582128393,-16.762473876555767,-6.004002338742147,-9.516605935931167,-2.5515497606069957,-0.9054820321588437,2.9705757722941186,-1.0387707932987382,3.8509027961699758,-0.33541231475756206,3.1671832691814217,0.5872890029962292,4.595389295629573,-0.8907191857980479,12.90039250125766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15631,-28.538357313732483,-29.64819782882448,-11.277620057565002,-10.276326616003523,-11.272740985549426,-3.0190559514630095,-3.5854140745497602,0.6780505942255175,-2.5983755231778076,3.5899906722127213,0.2768462016581168,-5.136917380398486,-0.45187892466073265,-1.1808105265307063,-5.412200053029963,3.094465667854684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15632,-30.775824131627914,-31.380867091138555,-9.519916367526875,-12.786119692943785,-13.470283280134979,-5.436725692058872,-3.2291932156692837,1.556296443183271,-1.9792680963995792,4.615591231934232,2.234328779219524,-7.4483093389806925,-0.1721374827910438,-3.241762689371299,-7.513123407205384,-7.828965089155959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15633,-33.74922613227875,-31.799370062654233,-19.875731984685515,-11.606258805830535,-16.72849516332971,-11.347395424141666,-6.983335473954867,5.3339441466201265,-2.3013223591106993,2.4225468701748696,-1.4885134819664358,0.3957360975222741,1.0887892372691539,3.0714975982397874,-0.8117091935175083,12.176382668074869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15634,-31.121603538305564,-28.673394694221884,-17.40231695502969,-9.169293770889965,-13.728927477572896,-10.901918920178602,-6.537232810847428,-3.684933202208356,-3.0839022149102107,0.43289610631106257,0.05088966421702423,7.005983027218733,5.399621271121518,7.428694374049513,7.230332806340428,26.001384993489857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15635,-29.451219529590475,-29.272928530913433,-13.986467992191422,-11.809888038942958,-12.718284582612341,-7.7451903521777155,-7.352376654597464,-12.458225101846864,-1.7861382749505168,0.9745588011723427,4.618047152019706,4.280947819605473,5.890917218835142,3.8872755379627293,3.6462073776644175,9.929070749695011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15636,-26.493877592522722,-25.97467575259313,-14.501303124463618,-8.58917110494312,-13.350040268598605,-5.08790852944756,-5.851838253949353,-0.5574419330419431,-3.456189224042056,3.6301502301029984,2.6705548502942236,3.4515271911763534,3.3088859134615944,3.6047720925630173,1.9440185931954233,7.4332078308279765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15637,-21.137958714751846,-17.570764402285278,-8.979904036473158,-2.638802428843533,-10.611385609827238,-3.0972643313587724,1.902094640926265,2.5488692041083,-4.59032948695755,6.080831456718151,1.9663558891652038,5.259561602785553,2.787170144178379,5.722079967504435,2.6742325296773437,15.24149791682421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15638,-19.555414660379483,-17.54595596209498,-9.870887683620623,-2.6462534983921273,-10.337662458606701,-2.189537939990416,-5.52816512840181,-3.7101092470098536,-5.548854206432882,4.897413408301674,4.025358841887122,1.9434217814905388,2.5591502043838954,3.1668241509951045,5.006337999427497,7.176039547162743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15639,-11.403351027142719,-12.302509161453571,-8.581012107913153,2.8750814784015972,-5.661797653729366,2.606091356412904,-14.175443119327895,3.7958127779651534,-3.7598201192794747,3.7967471194276206,-3.8985514952652807,-0.5544438078730494,-2.2508663229282573,0.20637620271387647,1.9651694700082718,5.6641374215118345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
